fecha;vel_viento;presion_atmosferica;humedad_relativa;frentes_frios;radiacion_solar;luminosidad;contaminacion_atmosferica;cobertura_nubosa;temperatura
01/01/2018;41.0;994.0;27.0;0;140.0;87.0;378.0;48.0;26.0
02/01/2018;37.0;1036.0;25.0;0;759.0;65.0;243.0;46.0;24.0
03/01/2018;30.0;1024.0;89.0;1;426.0;33.0;160.0;49.0;16.0
04/01/2018;29.0;925.0;66.0;1;863.0;10.0;491.0;28.0;18.0
05/01/2018;36.0;1036.0;57.0;0;787.0;84.0;365.0;50.0;28.0
06/01/2018;41.0;975.0;42.0;1;272.0;56.0;190.0;52.0;17.0
07/01/2018;20.0;1051.0;94.0;0;236.0;37.0;204.0;78.0;22.0
08/01/2018;25.0;1011.0;39.0;0;559.0;56.0;169.0;46.0;15.0
09/01/2018;38.0;945.0;60.0;1;497.0;30.0;98.0;46.0;17.0
10/01/2018;36.0;1017.0;75.0;0;572.0;90.0;405.0;39.0;30.0
11/01/2018;38.0;929.0;47.0;1;755.0;55.0;498.0;57.0;14.0
12/01/2018;44.0;929.0;88.0;0;938.0;19.0;212.0;52.0;28.0
13/01/2018;25.0;951.0;72.0;0;973.0;70.0;295.0;65.0;12.0
14/01/2018;35.0;989.0;27.0;0;716.0;18.0;96.0;54.0;16.0
15/01/2018;41.0;974.0;78.0;0;636.0;92.0;342.0;51.0;22.0
16/01/2018;33.0;1016.0;36.0;1;590.0;88.0;150.0;42.0;17.0
17/01/2018;31.0;1043.0;84.0;0;126.0;35.0;39.0;52.0;26.0
18/01/2018;35.0;1059.0;36.0;1;403.0;57.0;60.0;50.0;12.0
19/01/2018;34.0;1006.0;77.0;1;973.0;83.0;453.0;43.0;32.0
20/01/2018;28.0;1033.0;56.0;1;391.0;7.0;280.0;54.0;19.0
21/01/2018;37.0;1054.0;51.0;1;889.0;20.0;490.0;73.0;22.0
22/01/2018;43.0;1034.0;87.0;0;979.0;98.0;215.0;46.0;29.0
23/01/2018;26.0;948.0;95.0;0;488.0;93.0;324.0;59.0;23.0
24/01/2018;29.0;967.0;46.0;0;630.0;38.0;434.0;47.0;17.0
25/01/2018;35.0;1003.0;47.0;0;209.0;18.0;37.0;46.0;18.0
26/01/2018;27.0;949.0;90.0;0;126.0;88.0;485.0;38.0;23.0
27/01/2018;32.0;958.0;82.0;0;575.0;60.0;444.0;54.0;26.0
28/01/2018;23.0;989.0;61.0;1;174.0;24.0;99.0;57.0;14.0
29/01/2018;30.0;928.0;25.0;0;282.0;100.0;394.0;59.0;23.0
30/01/2018;32.0;1039.0;72.0;0;463.0;93.0;95.0;49.0;15.0
31/01/2018;35.0;1051.0;45.0;0;610.0;80.0;260.0;67.0;22.0
01/02/2018;35.0;1072.0;84.0;0;943.0;6.0;255.0;48.0;30.0
02/02/2018;24.0;1009.0;41.0;1;155.0;38.0;210.0;55.0;13.0
03/02/2018;32.0;1032.0;98.0;1;720.0;95.0;295.0;67.0;20.0
04/02/2018;27.0;942.0;63.0;0;546.0;0.0;185.0;47.0;23.0
05/02/2018;33.0;979.0;40.0;1;313.0;85.0;187.0;58.0;13.0
06/02/2018;38.0;973.0;61.0;0;768.0;21.0;359.0;70.0;18.0
07/02/2018;32.0;972.0;27.0;0;389.0;27.0;67.0;62.0;16.0
08/02/2018;30.0;1023.0;23.0;1;613.0;70.0;175.0;41.0;12.0
09/02/2018;35.0;1040.0;63.0;1;207.0;25.0;225.0;46.0;9.0
10/02/2018;39.0;988.0;74.0;0;285.0;55.0;228.0;32.0;16.0
11/02/2018;31.0;1008.0;59.0;0;538.0;11.0;87.0;59.0;23.0
12/02/2018;33.0;964.0;72.0;1;409.0;57.0;163.0;38.0;13.0
13/02/2018;32.0;1017.0;83.0;1;960.0;32.0;336.0;55.0;25.0
14/02/2018;36.0;1119.0;29.0;0;416.0;87.0;162.0;44.0;20.0
15/02/2018;30.0;964.0;22.0;0;384.0;44.0;402.0;43.0;23.0
16/02/2018;38.0;929.0;96.0;0;538.0;77.0;23.0;56.0;18.0
17/02/2018;29.0;1024.0;86.0;1;766.0;30.0;378.0;29.0;25.0
18/02/2018;25.0;1092.0;25.0;1;588.0;42.0;97.0;43.0;14.0
19/02/2018;30.0;941.0;95.0;1;554.0;67.0;349.0;50.0;20.0
20/02/2018;28.0;1027.0;75.0;1;672.0;69.0;154.0;56.0;11.0
21/02/2018;36.0;1013.0;28.0;1;742.0;14.0;21.0;50.0;10.0
22/02/2018;44.0;953.0;80.0;1;145.0;12.0;97.0;61.0;18.0
23/02/2018;37.0;984.0;22.0;0;551.0;34.0;241.0;42.0;12.0
24/02/2018;33.0;979.0;71.0;0;109.0;97.0;205.0;33.0;18.0
25/02/2018;38.0;956.0;61.0;0;960.0;40.0;297.0;48.0;15.0
26/02/2018;40.0;1050.0;23.0;0;708.0;95.0;333.0;30.0;24.0
27/02/2018;33.0;986.0;93.0;0;844.0;23.0;171.0;49.0;30.0
28/02/2018;40.0;1058.0;68.0;0;483.0;57.0;193.0;57.0;16.0
01/03/2018;28.0;999.0;98.0;0;726.0;9.0;424.0;43.0;27.0
02/03/2018;42.0;952.0;79.0;0;910.0;11.0;324.0;55.0;23.0
03/03/2018;29.0;1080.0;66.0;0;330.0;13.0;136.0;34.0;14.0
04/03/2018;31.0;969.0;90.0;1;452.0;79.0;246.0;49.0;11.0
05/03/2018;23.0;999.0;23.0;1;714.0;76.0;411.0;57.0;22.0
06/03/2018;38.0;1060.0;44.0;0;657.0;39.0;372.0;49.0;22.0
07/03/2018;39.0;1044.0;79.0;1;599.0;25.0;167.0;41.0;20.0
08/03/2018;22.0;1010.0;97.0;0;847.0;80.0;223.0;20.0;23.0
09/03/2018;33.0;1020.0;100.0;0;200.0;57.0;496.0;51.0;24.0
10/03/2018;32.0;1006.0;75.0;1;769.0;87.0;434.0;37.0;21.0
11/03/2018;32.0;1012.0;29.0;1;938.0;76.0;207.0;36.0;25.0
12/03/2018;23.0;994.0;58.0;0;628.0;85.0;72.0;34.0;17.0
13/03/2018;41.0;954.0;88.0;1;422.0;95.0;361.0;50.0;25.0
14/03/2018;30.0;1059.0;88.0;0;381.0;5.0;441.0;51.0;19.0
15/03/2018;28.0;1033.0;88.0;0;230.0;13.0;207.0;51.0;25.0
16/03/2018;30.0;978.0;94.0;1;502.0;76.0;33.0;43.0;18.0
17/03/2018;38.0;1018.0;39.0;0;741.0;82.0;60.0;32.0;27.0
18/03/2018;37.0;1052.0;54.0;0;259.0;88.0;75.0;53.0;24.0
19/03/2018;26.0;1075.0;33.0;1;113.0;52.0;121.0;41.0;17.0
20/03/2018;29.0;980.0;63.0;0;218.0;78.0;155.0;57.0;25.0
21/03/2018;38.0;1061.0;91.0;1;550.0;77.0;453.0;42.0;36.0
22/03/2018;38.0;943.0;96.0;0;508.0;98.0;259.0;73.0;12.0
23/03/2018;27.0;971.0;48.0;1;728.0;43.0;318.0;54.0;12.0
24/03/2018;36.0;949.0;41.0;0;843.0;61.0;484.0;62.0;15.0
25/03/2018;37.0;930.0;68.0;1;343.0;58.0;233.0;47.0;5.0
26/03/2018;25.0;969.0;22.0;0;733.0;48.0;344.0;54.0;15.0
27/03/2018;35.0;1036.0;82.0;1;954.0;74.0;395.0;64.0;29.0
28/03/2018;37.0;982.0;89.0;0;284.0;6.0;439.0;72.0;22.0
29/03/2018;35.0;961.0;26.0;0;940.0;88.0;346.0;41.0;25.0
30/03/2018;32.0;979.0;71.0;0;997.0;95.0;215.0;36.0;25.0
31/03/2018;37.0;970.0;46.0;1;469.0;62.0;295.0;50.0;11.0
01/04/2018;23.0;1004.0;83.0;0;973.0;43.0;29.0;37.0;32.0
02/04/2018;37.0;965.0;52.0;0;660.0;28.0;360.0;53.0;28.0
03/04/2018;20.0;1078.0;43.0;0;274.0;98.0;360.0;43.0;34.0
04/04/2018;27.0;1003.0;46.0;1;483.0;92.0;64.0;58.0;28.0
05/04/2018;32.0;958.0;96.0;1;216.0;35.0;216.0;44.0;21.0
06/04/2018;23.0;1012.0;53.0;0;171.0;82.0;167.0;57.0;24.0
07/04/2018;19.0;1067.0;66.0;0;315.0;40.0;62.0;73.0;31.0
08/04/2018;19.0;1047.0;40.0;0;870.0;77.0;328.0;30.0;30.0
09/04/2018;21.0;1083.0;65.0;1;425.0;21.0;265.0;56.0;24.0
10/04/2018;22.0;1055.0;84.0;0;406.0;5.0;25.0;57.0;32.0
11/04/2018;25.0;1059.0;45.0;1;497.0;58.0;438.0;38.0;28.0
12/04/2018;26.0;1049.0;79.0;0;611.0;44.0;77.0;51.0;25.0
13/04/2018;28.0;987.0;55.0;1;708.0;13.0;185.0;57.0;17.0
14/04/2018;27.0;990.0;71.0;0;682.0;96.0;110.0;41.0;25.0
15/04/2018;17.0;1097.0;23.0;1;408.0;42.0;272.0;49.0;28.0
16/04/2018;31.0;1005.0;80.0;1;788.0;47.0;45.0;49.0;31.0
17/04/2018;21.0;1049.0;67.0;0;175.0;26.0;182.0;36.0;27.0
18/04/2018;17.0;914.0;40.0;1;822.0;10.0;226.0;45.0;19.0
19/04/2018;27.0;964.0;44.0;0;550.0;66.0;237.0;64.0;28.0
20/04/2018;24.0;988.0;71.0;0;138.0;47.0;354.0;40.0;33.0
21/04/2018;22.0;984.0;74.0;1;459.0;86.0;276.0;42.0;16.0
22/04/2018;22.0;1055.0;38.0;1;838.0;3.0;44.0;56.0;21.0
23/04/2018;30.0;1054.0;23.0;0;345.0;28.0;95.0;40.0;28.0
24/04/2018;25.0;938.0;74.0;1;262.0;89.0;472.0;53.0;23.0
